,precision,recall,f1-score,support
0,0.8254799301919721,0.7356143079315708,0.7779605263157895,1286.0
1,0.9309701492537313,0.6472114137483788,0.7635807192042846,771.0
2,0.9139944392956442,0.9462675110343504,0.9298510277201584,5211.0
3,0.8939306358381502,0.9461609054756807,0.9193045028979046,3269.0
accuracy,0.8986428774793584,0.8986428774793584,0.8986428774793584,0.8986428774793584
macro avg,0.8910937886448744,0.8188135345474951,0.8476741940345343,10537.0
weighted avg,0.8982091152155279,0.8986428774793584,0.895875305757958,10537.0
